2019-02-11 17:00:16 :: [15] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 896
2019-02-11 17:06:04 :: [16] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 332
2019-02-11 17:16:50 :: [1] --SERVER OPEN--
2019-02-11 17:18:00 :: [2] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 820
2019-02-11 17:20:00 :: [3] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 820
2019-02-11 19:18:04 :: [1] --SERVER OPEN--
2019-02-11 19:18:47 :: [2] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 840
2019-02-11 19:18:47 :: [4] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 832
2019-02-11 19:18:47 :: [6] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 836
2019-02-11 19:18:47 :: [3] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 776
2019-02-11 19:18:47 :: [5] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 860
2019-02-11 19:18:47 :: [8] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 868
2019-02-11 19:18:47 :: [7] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 864
2019-02-11 19:18:47 :: [9] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 872
2019-02-11 19:18:47 :: [11] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 880
2019-02-11 19:18:47 :: [13] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 888
2019-02-11 19:18:47 :: [12] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 884
2019-02-11 19:18:47 :: [10] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 876
2019-02-11 19:18:47 :: [15] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 896
2019-02-11 19:18:47 :: [14] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 892
2019-02-11 19:18:47 :: [18] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 908
2019-02-11 19:18:47 :: [16] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 900
2019-02-11 19:18:47 :: [19] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 912
2019-02-11 19:18:47 :: [17] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 904
2019-02-11 19:18:47 :: [21] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 920
2019-02-11 19:18:47 :: [23] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 928
2019-02-11 19:18:47 :: [22] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 924
2019-02-11 19:18:47 :: [25] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 936
2019-02-11 19:18:47 :: [20] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 916
2019-02-11 19:18:47 :: [24] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 932
2019-02-11 19:18:47 :: [26] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 940
2019-02-11 19:18:47 :: [28] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 956
2019-02-11 19:18:47 :: [30] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 964
2019-02-11 19:18:47 :: [27] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 944
2019-02-11 19:18:47 :: [32] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 972
2019-02-11 19:18:47 :: [33] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 976
2019-02-11 19:18:47 :: [34] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 980
2019-02-11 19:18:47 :: [31] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 968
2019-02-11 19:18:47 :: [35] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 984
2019-02-11 19:18:47 :: [36] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 988
2019-02-11 19:18:47 :: [38] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 996
2019-02-11 19:18:47 :: [29] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 960
2019-02-11 19:18:47 :: [37] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 992
2019-02-11 19:18:47 :: [39] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1000
2019-02-11 19:18:47 :: [40] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1004
2019-02-11 19:18:47 :: [43] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1016
2019-02-11 19:18:47 :: [44] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1020
2019-02-11 19:18:47 :: [42] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1012
2019-02-11 19:18:47 :: [46] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1032
2019-02-11 19:18:47 :: [41] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1008
2019-02-11 19:18:47 :: [48] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1040
2019-02-11 19:18:47 :: [49] RECV IO FAIL : 64 , OVERLAPPED 10054 , socket = 1044
